0.000000,18.5,45
249.976121,18.5,45
500.102509,18.5,45
750.132966,18.5,45
1000.138785,18.5,45
1250.137787,18.5,45
1500.16608,18.5,45
1750.169444,18.5,45
2000.155346,18.5,45
2250.130738,18.5,45
2499.826903,18.5,45
2749.842012,18.5,45
2999.866782,18.5,45
3249.903086,18.5,45
3499.88893,18.5,45
3749.929654,18.5,45
3999.985008,18.5,45
4249.951687,18.5,45
4500.000447,18.5,45
4749.997529,18.5,45
4999.954194,18.5,45
5249.964202,18.5,45
5499.944276,18.5,45
5749.940989,18.5,45
5999.975203,18.5,45
6249.922434,18.5,45
6500.026785,18.5,45
6750.030522,18.5,45
7000.023406,18.5,45
7250.057914,18.5,45
7500.038382,18.5,45
7750.020582,18.5,45
8000.073402,18.5,45
8250.030839,18.5,45
8500.046893,18.5,45
8750.078278,18.5,45
9000.032056,18.5,45
9250.032563,18.5,45
9500.024139,18.5,45
9750.034038,18.5,45
9750.116601,18.5,45
9500.103462,18.5,45
9250.109748,18.5,45
9000.117572,18.5,45
8750.141705,18.5,45
8500.125507,18.5,45
8250.117341,18.5,45
8000.14778,18.5,45
7750.109088,18.5,45
7500.122772,18.5,45
7250.141867,18.5,45
7000.11722,18.5,45
6750.11926,18.5,45
6500.108393,18.5,45
6250.028852,18.5,45
6000.0511,18.5,45
5750.03421,18.5,45
5500.045035,18.5,45
5250.045612,18.5,45
5000.046545,18.5,45
4750.076462,18.5,45
4500.082873,18.5,45
4250.059338,18.5,45
4000.061449,18.5,45
3750.001368,18.5,45
3499.985784,18.5,45
3249.974259,18.5,45
2999.933586,18.5,45
2749.924148,18.5,45
2499.906224,18.5,45
2250.217079,18.5,45
2000.243368,18.5,45
1750.236001,18.5,45
1500.222216,18.5,45
1250.148642,18.5,45
1000.14171,18.5,45
750.15872,18.5,45
500.142394,18.5,45
250.025565,18.5,45
0.049226,18.5,45
